Id,Id2,Geography,Median household income in 1999
1400000US36047002200,36047002200,"Census Tract 22, Kings County, New York",28164
1400000US36047002300,36047002300,"Census Tract 23, Kings County, New York",9876
1400000US36047002500,36047002500,"Census Tract 25, Kings County, New York",16680
1400000US36047002700,36047002700,"Census Tract 27, Kings County, New York",34375
1400000US36047002901,36047002901,"Census Tract 29.01, Kings County, New York",11641
1400000US36047002902,36047002902,"Census Tract 29.02, Kings County, New York",27159
1400000US36047003000,36047003000,"Census Tract 30, Kings County, New York",54375
1400000US36047003100,36047003100,"Census Tract 31, Kings County, New York",40641
1400000US36047003200,36047003200,"Census Tract 32, Kings County, New York",0
1400000US36047003300,36047003300,"Census Tract 33, Kings County, New York",45213
1400000US36047003400,36047003400,"Census Tract 34, Kings County, New York",51362
1400000US36047003500,36047003500,"Census Tract 35, Kings County, New York",44306
1400000US36047003600,36047003600,"Census Tract 36, Kings County, New York",42476
1400000US36047003700,36047003700,"Census Tract 37, Kings County, New York",36667
1400000US36047003800,36047003800,"Census Tract 38, Kings County, New York",65234
1400000US36047003900,36047003900,"Census Tract 39, Kings County, New York",38686
1400000US36047004000,36047004000,"Census Tract 40, Kings County, New York",92945
1400000US36047004100,36047004100,"Census Tract 41, Kings County, New York",61486
1400000US36047004200,36047004200,"Census Tract 42, Kings County, New York",67000
1400000US36047004300,36047004300,"Census Tract 43, Kings County, New York",56429
1400000US36047004500,36047004500,"Census Tract 45, Kings County, New York",68182
1400000US36047004600,36047004600,"Census Tract 46, Kings County, New York",68594
1400000US36047004700,36047004700,"Census Tract 47, Kings County, New York",49427
1400000US36047004900,36047004900,"Census Tract 49, Kings County, New York",62344
1400000US36047005000,36047005000,"Census Tract 50, Kings County, New York",61217
1400000US36047005100,36047005100,"Census Tract 51, Kings County, New York",51767
1400000US36047005201,36047005201,"Census Tract 52.01, Kings County, New York",21804
1400000US36047005202,36047005202,"Census Tract 52.02, Kings County, New York",54500
