Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2010 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2010 inflation-adjusted dollars)
1400000US36005021502,36005021502,"Census Tract 215.02, Bronx County, New York",24181,3920
1400000US36005021601,36005021601,"Census Tract 216.01, Bronx County, New York",26016,7788
1400000US36005021602,36005021602,"Census Tract 216.02, Bronx County, New York",46672,6564
1400000US36005021700,36005021700,"Census Tract 217, Bronx County, New York",17722,5475
1400000US36005021800,36005021800,"Census Tract 218, Bronx County, New York",33131,5445
1400000US36005021900,36005021900,"Census Tract 219, Bronx County, New York",35268,12798
1400000US36005022000,36005022000,"Census Tract 220, Bronx County, New York",12359,6020
1400000US36005022101,36005022101,"Census Tract 221.01, Bronx County, New York",28008,6352
1400000US36005022102,36005022102,"Census Tract 221.02, Bronx County, New York",22092,7995
1400000US36005022200,36005022200,"Census Tract 222, Bronx County, New York",33516,5780
1400000US36005022300,36005022300,"Census Tract 223, Bronx County, New York",25597,4397
1400000US36005022401,36005022401,"Census Tract 224.01, Bronx County, New York",37287,7088
1400000US36005022403,36005022403,"Census Tract 224.03, Bronx County, New York",39519,22492
1400000US36005022404,36005022404,"Census Tract 224.04, Bronx County, New York",46988,5320
1400000US36005022500,36005022500,"Census Tract 225, Bronx County, New York",35000,7265
1400000US36005022701,36005022701,"Census Tract 227.01, Bronx County, New York",32436,8154
1400000US36005022702,36005022702,"Census Tract 227.02, Bronx County, New York",53173,11313
1400000US36005022703,36005022703,"Census Tract 227.03, Bronx County, New York",39141,9982
1400000US36005022800,36005022800,"Census Tract 228, Bronx County, New York",43977,5946
1400000US36005022901,36005022901,"Census Tract 229.01, Bronx County, New York",27908,7217
1400000US36005022902,36005022902,"Census Tract 229.02, Bronx County, New York",21985,5654
1400000US36005023000,36005023000,"Census Tract 230, Bronx County, New York",39402,22282
1400000US36005023100,36005023100,"Census Tract 231, Bronx County, New York",27228,10101
1400000US36005023200,36005023200,"Census Tract 232, Bronx County, New York",51373,11273
1400000US36005023301,36005023301,"Census Tract 233.01, Bronx County, New York",30049,5391
1400000US36005023302,36005023302,"Census Tract 233.02, Bronx County, New York",19696,6717
1400000US36005023501,36005023501,"Census Tract 235.01, Bronx County, New York",25463,7762
1400000US36005023502,36005023502,"Census Tract 235.02, Bronx County, New York",22445,5761
1400000US36005023600,36005023600,"Census Tract 236, Bronx County, New York",38913,16233
1400000US36005023702,36005023702,"Census Tract 237.02, Bronx County, New York",19490,7873
1400000US36005023703,36005023703,"Census Tract 237.03, Bronx County, New York",26439,11995
1400000US36005023704,36005023704,"Census Tract 237.04, Bronx County, New York",22610,10665
1400000US36005023800,36005023800,"Census Tract 238, Bronx County, New York",48368,6322
1400000US36005023900,36005023900,"Census Tract 239, Bronx County, New York",19246,3288
1400000US36005024000,36005024000,"Census Tract 240, Bronx County, New York",39219,9954
1400000US36005024100,36005024100,"Census Tract 241, Bronx County, New York",25694,4919
1400000US36005024300,36005024300,"Census Tract 243, Bronx County, New York",25983,3837
1400000US36005024400,36005024400,"Census Tract 244, Bronx County, New York",69545,11481
1400000US36005024501,36005024501,"Census Tract 245.01, Bronx County, New York",26168,4300
1400000US36005024502,36005024502,"Census Tract 245.02, Bronx County, New York",35256,17370
1400000US36005024600,36005024600,"Census Tract 246, Bronx County, New York",68600,16944
1400000US36005024700,36005024700,"Census Tract 247, Bronx County, New York",50600,6866
1400000US36005024800,36005024800,"Census Tract 248, Bronx County, New York",60088,9288
1400000US36005024900,36005024900,"Census Tract 249, Bronx County, New York",-,**
1400000US36005025000,36005025000,"Census Tract 250, Bronx County, New York",51324,10274
1400000US36005025100,36005025100,"Census Tract 251, Bronx County, New York",29254,9394
1400000US36005025200,36005025200,"Census Tract 252, Bronx County, New York",53088,10632
1400000US36005025300,36005025300,"Census Tract 253, Bronx County, New York",22324,4758
1400000US36005025400,36005025400,"Census Tract 254, Bronx County, New York",54764,16621
1400000US36005025500,36005025500,"Census Tract 255, Bronx County, New York",24430,4481
1400000US36005025600,36005025600,"Census Tract 256, Bronx County, New York",42188,36730
1400000US36005025700,36005025700,"Census Tract 257, Bronx County, New York",32941,16545
1400000US36005026100,36005026100,"Census Tract 261, Bronx County, New York",58100,4611
1400000US36005026300,36005026300,"Census Tract 263, Bronx County, New York",21339,4793
1400000US36005026400,36005026400,"Census Tract 264, Bronx County, New York",56146,19409
1400000US36005026500,36005026500,"Census Tract 265, Bronx County, New York",23968,5348
1400000US36005026601,36005026601,"Census Tract 266.01, Bronx County, New York",54028,6260
1400000US36005026602,36005026602,"Census Tract 266.02, Bronx County, New York",43083,11168
1400000US36005026701,36005026701,"Census Tract 267.01, Bronx County, New York",25936,2639
1400000US36005026702,36005026702,"Census Tract 267.02, Bronx County, New York",31901,6499
1400000US36005026900,36005026900,"Census Tract 269, Bronx County, New York",35083,8907
1400000US36005027300,36005027300,"Census Tract 273, Bronx County, New York",40633,6859
1400000US36005027401,36005027401,"Census Tract 274.01, Bronx County, New York",66500,25027
1400000US36005027402,36005027402,"Census Tract 274.02, Bronx County, New York",67206,29509
1400000US36005027600,36005027600,"Census Tract 276, Bronx County, New York",-,**
1400000US36005027700,36005027700,"Census Tract 277, Bronx County, New York",30823,7982
1400000US36005027900,36005027900,"Census Tract 279, Bronx County, New York",51667,12182
1400000US36005028100,36005028100,"Census Tract 281, Bronx County, New York",44974,14387
1400000US36005028300,36005028300,"Census Tract 283, Bronx County, New York",38777,16850
1400000US36005028400,36005028400,"Census Tract 284, Bronx County, New York",90170,92446
1400000US36005028500,36005028500,"Census Tract 285, Bronx County, New York",44022,9627
1400000US36005028600,36005028600,"Census Tract 286, Bronx County, New York",85096,23486
1400000US36005028700,36005028700,"Census Tract 287, Bronx County, New York",44709,18482
1400000US36005028800,36005028800,"Census Tract 288, Bronx County, New York",62386,12673
1400000US36005028900,36005028900,"Census Tract 289, Bronx County, New York",45968,7022
1400000US36005029301,36005029301,"Census Tract 293.01, Bronx County, New York",100776,35938
1400000US36005029302,36005029302,"Census Tract 293.02, Bronx County, New York",80313,13224
1400000US36005029500,36005029500,"Census Tract 295, Bronx County, New York",71936,12818
